Date,Open,High,Low,Close,Volume,AdjClose
2008-07-28,1257.76,1284.93,1234.37,1260.31,5071890000,1260.31
2008-07-21,1261.82,1291.17,1248.83,1257.76,5663448000,1257.76
2008-07-14,1241.61,1262.31,1200.44,1260.68,6511124000,1260.68
2008-07-07,1262.90,1277.36,1225.35,1239.49,5812632000,1239.49
2008-06-30,1278.06,1292.17,1252.01,1262.90,4850575000,1262.90
2008-06-23,1319.77,1335.63,1272.00,1278.38,5031320000,1278.38
2008-06-16,1358.85,1366.59,1314.46,1317.93,4443808000,1317.93
2008-06-09,1360.83,1370.63,1331.29,1360.03,4526856000,1360.03
2008-06-02,1399.62,1404.05,1359.90,1360.68,4314358000,1360.68
2008-05-27,1375.97,1406.32,1373.07,1400.38,3814042500,1400.38
2008-05-19,1425.28,1440.24,1373.72,1375.93,3905724000,1375.93
2008-05-12,1389.40,1425.82,1386.20,1425.35,3809532000,1425.35
2008-05-05,1415.34,1421.57,1384.11,1388.28,3751244000,1388.28
2008-04-28,1397.96,1422.72,1383.07,1413.90,4066604000,1413.90
2008-04-21,1387.72,1399.11,1369.84,1397.84,3939778000,1397.84
2008-04-14,1332.20,1395.90,1324.35,1390.33,3868576000,1390.33
2008-04-07,1373.69,1386.74,1331.21,1332.83,3663378000,1332.83
2008-03-31,1315.92,1380.91,1312.81,1370.40,4175550000,1370.40
2008-03-24,1330.29,1359.68,1312.95,1315.22,4084940000,1315.22
2008-03-17,1283.21,1341.51,1256.98,1329.51,5630602500,1329.51
2008-03-10,1293.16,1333.26,1272.66,1288.14,4802348000,1288.14
2008-03-03,1330.45,1344.19,1282.43,1293.37,4408266000,1293.37
2008-02-25,1352.75,1388.34,1325.42,1330.63,4046484000,1330.63
2008-02-19,1355.86,1367.94,1327.04,1353.11,3688347500,1353.11
2008-02-11,1331.92,1369.23,1320.32,1349.99,3744452000,1349.99
2008-02-04,1395.38,1395.38,1316.75,1331.29,4035458000,1331.29
2008-01-28,1330.70,1396.02,1322.26,1395.42,4539542000,1395.42
2008-01-22,1312.94,1368.56,1270.05,1330.61,5100980000,1330.61
2008-01-14,1402.91,1417.89,1312.51,1325.19,5006464000,1325.19
2008-01-07,1414.07,1430.28,1378.70,1401.02,4788802000,1401.02
2007-12-31,1475.25,1475.83,1411.19,1411.63,3372257500,1411.63
2007-12-24,1484.55,1498.85,1471.70,1478.49,2016050000,1478.49
2007-12-17,1465.05,1485.40,1435.65,1484.46,3745900000,1484.46
2007-12-10,1505.11,1523.57,1467.78,1467.95,3702056000,1467.95
2007-12-03,1479.63,1510.63,1460.66,1504.66,3415362000,1504.66
2007-11-26,1440.74,1488.94,1406.10,1481.14,4096428000,1481.14
2007-11-19,1456.70,1456.70,1415.64,1440.70,3670937500,1440.70
2007-11-12,1453.66,1492.14,1438.53,1458.74,4095036000,1458.74
2007-11-05,1505.61,1520.77,1448.51,1453.70,4415684000,1453.70
2007-10-29,1536.92,1552.76,1492.53,1509.65,3763506000,1509.65
2007-10-22,1497.79,1535.53,1489.56,1535.28,3716066000,1535.28
2007-10-15,1562.25,1564.74,1500.26,1500.63,3475220000,1500.63
2007-10-08,1556.51,1576.09,1546.72,1561.80,2943480000,1561.80
